pattern;max elems;average;max counter;sum counter;DCA states;time [ms]
([_a-zA-Z0-9-]+\.[_a-zA-Z0-9-]*)\@((([a-zA-Z0-9-]{2,255})\.(ad|ae|af|ag|ai|al|am|an|ao|aq|ar|as|at|au|aw|az|ba|bb|bd|be|bf|bg|bh|bi|bj|bm|bn|bo|br|bs|bt|bv|bw|by|bz|ca|cc|cf|cg|ch|ci|ck|cl|cm|cn|co|cr|cu|cv|cx|cy|cz|de|di|dk|dm|do|dz|ec|ee|eg|eh|er|es|et|fi|fj|fk|fm|fo|fr|ga|gb|gd|ge|gf|gh|gi|gl|gm|gn|gp|gq|gr|gs|gt|gu|gw|gy|hk|hm|hn|hr|ht|hu|id|ie|il|in|io|iq|ir|is|it|jo|jm|jp|ke|kg|kh|ki|km|kn|kp|kr|kw|ky|kz|la|lb|lc|li|lk|lr|ls|lt|lu|lv|ly|ma|mc|md|mg|mh|mk|ml|mm|mn|mo|mp|mq|mr|ms|mt|mu|mv|mw|mx|my|mz|an|nc|ne|nf|ng|ni|nl|no|np|nr|nt|nu|nz|om|pa|pe|pf|pg|ph|pk|pl|pm|pn|pr|pt|pw|py|qa|re|ro|ru|rw|sa|sb|sc|sd|se|sq|sh|si|sj|sk|sl|sm|sn|so|sr|st|su|sv|sy|sz|tc|td|tf|tg|th|tj|tk|tm|tn|to|tp|tr|tt|tv|tw|tz|ua|ug|uk|um|us|uy|uz|va|vc|ve|vg|vi|vn|vu|wf|ws|ye|yt|yu|za|zm|zr|zw|arpa|arts|biz|com|edu|firm|gov|info|int|mil|nato|net|nom|org|rec|store|web))|((25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9])\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9]|0)\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9]|0)\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[0-9])));;;255;263;154;TIMEOUT while finding cycles.
\A(\*)?([A-Z][-A-Z_]{0,255})(?:;(.+))?\z;1;1;255;255;4;489816;text generated
^[A-Za-z0-9][A-Za-z0-9\.\-]{1,255}$;1;1;255;255;2;489887;text generated
^[A-Za-z0-9][A-Za-z0-9\.\-]{1,255}$;1;1;255;255;2;TIMEOUT while generating line.
^[A-Za-z0-9][A-Za-z0-9\.\-]{1,255}$;1;1;255;255;2;TIMEOUT while generating line.
^(?:\:|[ \n\t\r\f]{1,256});1;1;256;256;4;1449998;text generated
^(?:[\,\]\}]|[ \n\t\r\f]{1,256});1;1;256;256;4;1450041;text generated
^.{11}\x00\x01\x86\xB8.{4}\x00\x00\x00\x02.{0,251}%x %x;1;3;251;266;103;1453992;text generated
^.{15}\x00\x01\x86\xB8.{4}\x00\x00\x00\x02.{0,251}%x %x;1;3;251;270;103;1457003;text generated
^.{287}\x00;1;1;287;287;2;1457043;text generated
^.*FOLD [^\x0A]{256};1;1;256;256;20;1457093;text generated
^\n*[aA][pP][oO][pP][\x20\x09\x0b][^\n]{256};1;1;256;256;8;1457151;text generated
^\n*[aA][uU][tT][hH][iI][nN][fF][oO][\x20\x09\x0b]+[uU][sS][eE][rR][\x20\x09\x0b][^\n]{200};1;1;200;200;17;1457248;text generated
^\n*[eE][xX][pP][nN][^\n]{255,};1;1;255;255;8;1457305;text generated
^\n*[fF][oO][lL][dD][\x20\x09\x0b][^\n]{256};1;1;256;256;8;1457362;text generated
^\n*[sS][sS][hH]-[\x20\x09\x0b][^\n]{200};1;1;200;200;8;1457418;text generated
^\n*[vV][rR][fF][yY][^\n]{255,};1;1;255;255;8;1457476;text generated
^.*SEARCH \/ HTTP\/1\.1\x0d\x0aHost\x3a.{0,251}\x0d\x0a\x0d\x0a;1;1;251;251;114;1457692;text generated
^.*SEARCH \/ HTTP\/1\.1\x0D\x0AHost\x3A.{0,251}\x0D\x0A\x0D\x0A;1;1;251;251;114;1457861;text generated
^\x01.{240}.*\x0C.*.{0}.*%.{1}.{0,7}%.{1}.{0,7}%;4;3,02834008097166;240;254;50;1458452;text generated
^\x01.{240}.*\x0C.*.*%.{1}.{0,7}%.{1}.{0,7}%;4;3,02834008097166;240;254;50;1458881;text generated
\r\nAuthorization\x3a[ \n\t\r\f]*Basic[^\n]{256};1;1;256;256;50;1459036;text generated
\r\nAuthorization\x3a([ \n\t\r\f]*|[ \n\t\r\f]*\r?\n[ \n\t\r\f]+)Basic[ \n\t\r\f][^\n]{250};1;1;250;250;56;1459194;text generated
[ \n\t\r\f]{230,}\.htr;230;223,417895526118;230;230;12;1459247;text generated
\x3c\x21\x2d\x2d\x23include[ \n\t\r\f]+file[^(\x2d\x2d\x3e)]{250,};1;1;250;250;46;1459373;text generated
