pattern;max elems;average;max counter;sum counter;DCA states;time [ms]
^.{1,210}$;1;1;210;210;1;8786;text generated
^[-A-Za-z0-9_.]{1,255}$;1;1;255;255;1;8820;text generated
^[\*A-Za-z0-9]{1,255}$;1;1;255;255;1;8843;text generated
\bcid:([^'\" \n\t\r\f]{1,256});;;;;;Error while converting regex to DCA: Not implemented: word-boundary \b
^(.{255});1;1;255;255;2;8884;text generated
^[a-zA-Z]{1}[a-zA-Z0-9]{1,255}$;1;1;255;255;2;8927;text generated
(https?:\/\/)?((www\.)?([-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/=]*)));;;;;;Error while converting regex to DCA: Not implemented: word-boundary \b
^[\u0430-\u044fa-z0-9.-]{2,255}$;1;1;255;255;1;22587;text generated
^[a-zA-Z0-9_-]{1,256}$;1;1;256;256;1;22611;text generated
^[a-z0-9][a-z0-9_-]{0,254}$;1;1;254;254;2;22628;text generated
[A-Za-z][A-Za-z_]{0,254};1;1;254;254;4;22644;text generated
(?i)\A[A-Z0-9._%+-]{1,64}@(?:[A-Z0-9-]*\.){1,125}[A-Z]{2,63}\z;1;3;125;252;5;22689;text generated
(?i)\A[A-Z0-9._%+-]{1,64}@(?:[A-Z0-9-]*\.){1,125}[A-Z]{2,63}\z;1;3;125;252;5;TIMEOUT while generating line.
[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&//=]*);;;;;;Error while converting regex to DCA: Not implemented: word-boundary \b
(?i)\A[A-Z0-9._%+-]{1,64}@(?:[A-Z0-9-]*\.){1,125}[A-Z]{2,63}\z;1;3;125;252;5;TIMEOUT while generating line.
^[A-Za-z][A-Za-z0-9]{1,254}$;1;1;254;254;2;982821;text generated
[ \n\t\r\f^ \n\t\r\f]{1,232};1;1;232;232;4;982875;text generated
^(?:[^\"\]{1,256}|\[bfnrt\"\\/]|\u[0-9a-fA-F]{4}|\");;;;;;TIMEOUT while converting regex to DCA.
^.{1,253}$;1;1;253;253;1;5813498;text generated
^[^\.][a-z0-9A-Z_\-\.]{0,255}$;1;1;255;255;2;5813559;text generated
