pattern;max elems;average;max counter;sum counter;DCA states;time [ms]
^.{3}\xFF[sS][mM][bB][sS].{42}\x00\x00\x00\x00.{10}[^\x00]{255};1;4;255;310;76;10055;text generated
^.{3}\xFF[sS][mM][bB][sS].{56}.*\x00.{255}.*\x00\x00.*.*\x00\x00;255;102,938271604938;255;314;30;10173;text generated
^([nN][aA][mM][eE]|[iI][dD]|[nN][uU][mM][bB][eE][rR]|[tT][oO][tT][aA][lL]|[bB][oO][uU][nN][dD][aA][rR][yY])=[\x20\x09\x0b]*[^\r\n\x3b \n\t\r\f\x2c]{300};300;148,049180327869;300;300;28;10234;text generated
^[nN][aA][mM][eE]=s*[^\r\n\x3b\x20\x09\x0b\x2c]{300};300;148,049180327869;300;300;11;10302;text generated
^\n*[rR][cC][pP][tT] [tT][oO][\x20\x09\x0b][^\n]{300};1;1;300;300;11;10337;text generated
  _secure_another\+_setting: ([A-Za-z0-9\+/]{342}==)$;1;1;342;342;32;10391;text generated
\r\nDESCRIBE[ \n\t\r\f][^\n]{300};1;1;300;300;13;10429;text generated
\r\nHost\x3A[ \n\t\r\f][^\r\n]{300,};1;1;300;300;22;10462;text generated
^((?:@[^/]{1,100}\/)?[^@]{1,100})(?:@(.{1,100}))?$;1;3;100;300;4;10482;text generated
\A[ \n\t\r\f]*(?<name>[[:word:]]{1,50})[ \n\t\r\f]*(\=|:)[ \n\t\r\f]*(?<value>.{1,255})[ \n\t\r\f]*\Z;1;2;255;305;9;10508;text generated
.{10,300};10;5,5;300;300;3;10524;text generated
    _secure_another_setting: ([A-Za-z0-9\+/]{342}==)$;1;1;342;342;33;10589;text generated
[a-z0-9._%+-]{1,64}@(?:[a-z0-9-]{1,63}\.){1,125}[a-z]{2,63};64;66,4961259685079;125;315;14;10843;text generated
^(([a-zA-Z0-9\-]{1,63}\.?)+([a-zA-Z0-9\-]+)){1,255}$;;;;;;Error while converting regex to DCA: Error: Creating loop in NCA.
;\r\n\r\n\/\/ This works in non-strict mode(?:.){1,304};1;1;304;304;148;16448;text generated
\A[A-Za-z0-9\+\/]{342}==\z;1;1;342;342;3;16472;text generated
    _secure_setting:       ([A-Za-z0-9\+/]{342}==)$;1;1;342;342;31;16506;text generated
^(.{2,250}) ([0-9]{4,10}) ([^,]{2,80}) *(,.+)?$;1;3;250;340;31;16583;text generated
^([A-Za-z0-9._-]+):([A-Za-z0-9._-]+):([A-Za-z0-9+/]{341}[AQgw]==)$;1;1;341;341;8;16604;text generated
[A-Za-z0-9\+/]{342}==;342;327,425893526618;342;342;4;19697;text generated
https?:\/\/(www\.)?([-a-zA-Z0-9@:%._+~#=]{1,256}\.[a-z]{2,63}|localhost)\b([-a-zA-Z0-9@:%_+.~#?&//=]*);;;;;;Error while converting regex to DCA: Not implemented: word-boundary \b
^[-a-zA-Z0-9@:%_\+.~#?&//=]{2,256}\.[a-z]{2,63}\b(\/[-a-zA-Z0-9@:%_\(\)\+.,~#?&//=]*)?$;;;;;;Error while converting regex to DCA: Not implemented: word-boundary \b
^[^\.][a-z0-9_\-\+\~\^\{\}\.]{1,64}@[a-z0-9_\-\+\~\^\{\}\.]{1,255}\.[a-z0-9]{2,}$;1;3;255;321;7;19760;text generated
^[ -~]{344}$;1;1;344;344;1;30126;text generated
^(.{330}[^\.]+\.).*;1;1;330;330;3;30141;text generated
^[0-9]{1,309}\.[0-9]{1,2}$;1;2;309;311;2;30159;text generated
\A[A-Za-z0-9\+/]{342}==\z;1;1;342;342;3;30175;text generated
^(.{345,}[0-9a-zA-Z_]+)[^0-9a-zA-Z_].*;1;1;345;345;5;30194;text generated
https?:\/\/(www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-z]{2,63}\b([-a-zA-Z0-9@:%_\+.~#?&//=]*);;;;;;Error while converting regex to DCA: Not implemented: word-boundary \b
_secure_my_unencrpyted_setting: [A-Za-z0-9\+\/]{342}==;1;1;342;342;35;31559;text generated
name=[ \n\t\r\f]*[^\r\n\x3b \n\t\r\f\x2c]{300};60;30,016393442623;300;300;24;31591;text generated
^DESCRIBE[ \n\t\r\f][^\n]{300};1;1;300;300;12;31624;text generated
^[ \n\t\r\f]*\x22[^\x22\n]{300};1;1;300;300;3;31648;text generated
^Host\x3A[ \n\t\r\f][^\r\n]{300,};1;1;300;300;10;31684;text generated
(name|id|number|total|boundary)=[ \n\t\r\f]*[^\r\n\x3b \n\t\r\f\x2c]{300};50;25,0196078431373;300;300;89;31827;text generated
^.{12}\x00{6}\x09\x01.{16}.{300};1;4;300;334;10;31909;text generated
^[ \n\t\r\f]*Content-Type[ \n\t\r\f]*\x3A[ \n\t\r\f]*[^\r\n]{300};300;144,290734824281;300;300;20;31936;text generated
^[ \n\t\r\f]*Content-Encoding[ \n\t\r\f]*\x3A[ \n\t\r\f]*[^\r\n]{300};300;142,482649842271;300;300;24;31962;text generated
