Regex;Lines;Visited;Cache Size(Found);Counters;Max CS;Status
    _secure_another_setting: ([A-Za-z0-9\+/]{342}==)$;342    _secure_setting:       ([A-Za-z0-9\+/]{342}==)$;342  _secure_another\+_setting: ([A-Za-z0-9\+/]{342}==)$;342  hanami generate secret     # Prints secret (eg. `[a-z0-9A-Z_]{64}`);64  hanami generate secret web # Prints session secret (eg. `WEB_SESSIONS_SECRET=[a-z0-9A-Z_]{64}`);64 ?< ?(ref) [a-zA-Z0-9=\" ]{2,100}\/ ?> ?;100 ?< ?(span|div|table|data) [a-zA-Z0-9=\" ]{2,100}\/? ?> ?;100 \A [ \n\t\r\f]* Password [ \n\t\r\f]* = [ \n\t\r\f]* ([0-9A-F]{128}) [ \n\t\r\f]* \z ;;;;;;Error while converting to DCA: SetIsEmpty
 {2,999};999 {70} *;70((([0-9]|[a-f]){32}-)*([0-9]|[a-f]){32}\.vurl\.)|(\/vurl\/([0-9]|[a-f]){32}(-([0-9]|[a-f]){32})*);96((([0-9A-Fa-f]{1,4}:){7}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){6}:[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){5}:([0-9A-Fa-f]{1,4}:)?[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){4}:([0-9A-Fa-f]{1,4}:){0,2}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){3}:([0-9A-Fa-f]{1,4}:){0,3}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){2}:([0-9A-Fa-f]{1,4}:){0,4}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){6}(([0-9]((25[0-5])|(1[0-9]{2})|(2[0-4][0-9])|([0-9]{1,2}))[0-9])\.){3}([0-9]((25[0-5])|(1[0-9]{2})|(2[0-4][0-9])|([0-9]{1,2}))[0-9]))|(([0-9A-Fa-f]{1,4}:){0,5}:(([0-9]((25[0-5])|(1[0-9]{2})|(2[0-4][0-9])|([0-9]{1,2}))[0-9])\.){3}([0-9]((25[0-5])|(1[0-9]{2})|(2[0-4][0-9])|([0-9]{1,2}))[0-9]))|(::([0-9A-Fa-f]{1,4}:){0,5}(([0-9]((25[0-5])|(1[0-9]{2})|(2[0-4][0-9])|([0-9]{1,2}))[0-9])\.){3}([0-9]((25[0-5])|(1[0-9]{2})|(2[0-4][0-9])|([0-9]{1,2}))[0-9]))|([0-9A-Fa-f]{1,4}::([0-9A-Fa-f]{1,4}:){0,5}[0-9A-Fa-f]{1,4})|(::([0-9A-Fa-f]{1,4}:){0,6}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){1,7}:));;;;;;TIMEOUT while converting to DCA.
((?:[^GyMLwWdEabBhHmsSzZO']+)|(?:'(?:[^']|'')*')|(?:G{1,5}|y{1,4}|M{1,5}|L{1,5}|w{1,2}|W{1}|d{1,2}|E{1,6}|a{1,5}|b{1,5}|B{1,5}|h{1,2}|H{1,2}|m{1,2}|s{1,2}|S{1,3}|z{1,4}|Z{1,5}|O{1,4}))([ \n\t\r\f^ \n\t\r\f]*);;;;;;TIMEOUT while converting to DCA.
((?:[0-9A-Fa-f]{1,4}:){6}(?:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}|(?:(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\.){3}(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5]))|::(?:[0-9A-Fa-f]{1,4}:){5}(?:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}|(?:(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\.){3}(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5]))|(?:[0-9A-Fa-f]{1,4})?::(?:[0-9A-Fa-f]{1,4}:){4}(?:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}|(?:(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\.){3}(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5]))|(?:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4})?::(?:[0-9A-Fa-f]{1,4}:){3}(?:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}|(?:(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\.){3}(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5]))|(?:(?:[0-9A-Fa-f]{1,4}:){,2}[0-9A-Fa-f]{1,4})?::(?:[0-9A-Fa-f]{1,4}:){2}(?:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}|(?:(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\.){3}(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5]))|(?:(?:[0-9A-Fa-f]{1,4}:){,3}[0-9A-Fa-f]{1,4})?::[0-9A-Fa-f]{1,4}:(?:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}|(?:(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\.){3}(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5]))|(?:(?:[0-9A-Fa-f]{1,4}:){,4}[0-9A-Fa-f]{1,4})?::(?:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}|(?:(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\.){3}(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5]))|(?:(?:[0-9A-Fa-f]{1,4}:){,5}[0-9A-Fa-f]{1,4})?::[0-9A-Fa-f]{1,4}|(?:(?:[0-9A-Fa-f]{1,4}:){,6}[0-9A-Fa-f]{1,4})?::);;;;;;TIMEOUT while converting to DCA.
((?:https?:\/\/)?(?:(?:[a-z0-9]?(?:[a-z0-9\-]{1,61}[a-z0-9])?\.[^\.| \n\t\r\f])+[a-z\.]*[a-z]+|(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)(?:\.(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)){3})(?::[0-9]{1,5})*[a-z0-9.,_\/~#&=%+?\-\(\)]*);;;;;;TIMEOUT while converting to DCA.
(([a-z0-9A-Z_]+:)?\/\/)?(([0-9a-z0-9A-Z_]|%[a-fA-f0-9]{2,2})+(:([0-9a-z0-9A-Z_]|%[a-fA-f0-9]{2,2})+)?@)?([0-9a-z0-9A-Z_][-0-9a-z0-9A-Z_]{0,253}[0-9a-z0-9A-Z_]\.)+[a-z0-9A-Z_]{2,4}(:[0-9]+)?(\/([-+_~.0-9a-z0-9A-Z_]|%[a-fA-f0-9]{2,2})*)*(\?(&?([-+_~.0-9a-z0-9A-Z_]|%[a-fA-f0-9]{2,2})=?)*)?(#([-+_~.0-9a-z0-9A-Z_]|%[a-fA-f0-9]{2,2})*)?;;;;;;Error while converting to DCA: Error: Creating loop in NCA.
(([0-9]|[a-f]){32}-)*([0-9]|[a-f]){32}\.vurl\.;64(([0-9a-fA-F]{1,4}:){7,7}[0-9a-fA-F]{1,4}|([0-9a-fA-F]{1,4}:){1,7}:|([0-9a-fA-F]{1,4}:){1,6}:[0-9a-fA-F]{1,4}|([0-9a-fA-F]{1,4}:){1,5}(:[0-9a-fA-F]{1,4}){1,2}|([0-9a-fA-F]{1,4}:){1,4}(:[0-9a-fA-F]{1,4}){1,3}|([0-9a-fA-F]{1,4}:){1,3}(:[0-9a-fA-F]{1,4}){1,4}|([0-9a-fA-F]{1,4}:){1,2}(:[0-9a-fA-F]{1,4}){1,5}|[0-9a-fA-F]{1,4}:((:[0-9a-fA-F]{1,4}){1,6})|:((:[0-9a-fA-F]{1,4}){1,7}|:)|fe80:(:[0-9a-fA-F]{0,4}){0,4}%[0-9a-zA-Z]{1,}|::(ffff(:0{1,4}){0,1}:){0,1}((25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9])\.){3,3}(25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9])|([0-9a-fA-F]{1,4}:){1,4}:((25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9])\.){3,3}(25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9]));;;;;;Error while converting to DCA: Error: Creating loop in NCA.
(([0-9a-fA-F]{1,4}:){7,7}[0-9a-fA-F]{1,4}|([0-9a-fA-F]{1,4}:){1,7}:|([0-9a-fA-F]{1,4}:){1,6}:[0-9a-fA-F]{1,4}|([0-9a-fA-F]{1,4}:){1,5}(:[0-9a-fA-F]{1,4}){1,2}|([0-9a-fA-F]{1,4}:){1,4}(:[0-9a-fA-F]{1,4}){1,3}|([0-9a-fA-F]{1,4}:){1,3}(:[0-9a-fA-F]{1,4}){1,4}|([0-9a-fA-F]{1,4}:){1,2}(:[0-9a-fA-F]{1,4}){1,5}|[0-9a-fA-F]{1,4}:((:[0-9a-fA-F]{1,4}){1,6})|:((:[0-9a-fA-F]{1,4}){1,7}|:)|fe80:(:[0-9a-fA-F]{0,4}){0,4}%[0-9a-zA-Z]{1,}|::(ffff(:0{1,4}){0,1}:){0,1}((25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9])\.){3,3}(25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9])|([0-9a-fA-F]{1,4}:){1,4}:((25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9])\.){3,3}(25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9]));;;;;;Error while converting to DCA: Error: Creating loop in NCA.
(([0-9a-zA-Z_]+\-+)|([0-9a-zA-Z_]+\.))*[0-9a-zA-Z_]{1,63}\.[a-zA-Z]{2,6}$;69((2|3)\.(3|4|5|6|7|8)\.([0-9]{1,2}))((a|b|c|rc)[0-9]{1,2})? (.{1,64});68((4([0-9]{12}|[0-9]{15}))|(5[0-9]{15})|(6011[0-9]{12})|(3(4|7)[0-9]{13}));;;;;;TIMEOUT while converting to DCA.
((EQD[^']*')(RFF[^']*'){0,9}(EQN[^']*')?(TMD[^']*'){0,9}(DTM[^']*'){0,9}(LOC[^']*'){0,9}(MEA[^']*'){0,9}(DIM[^']*'){0,9}(TMP[^']*'){0,9}(RNG[^']*'){0,9}(SEL[^']*'){0,9}(FTX[^']*'){0,9}(DGS[^']*'){0,9}(EQA[^']*'){0,9}(NAD[^']*')?)((TDT[^']*')(RFF[^']*'){0,9}(LOC[^']*'){0,9}(DTM[^']*'){0,9})?;;;;;;Error while converting to DCA: Error: Creating loop in NCA.
