Benchmark;Suma;Done;Errors;Timeouted;
better;1;0;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
better;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
better;3;2;0;1;
Benchmark;Suma;Done;Errors;Timeouted;
better;3;3;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
better;3;3;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
better;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
better;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
better;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
better;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
better;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
better;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
better;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
better;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
better;1;0;0;1;
Benchmark;Suma;Done;Errors;Timeouted;
better;1;0;0;1;
Benchmark;Suma;Done;Errors;Timeouted;
better;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
better;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
better;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
better;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
better;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
better;1;0;0;1;
Benchmark;Suma;Done;Errors;Timeouted;
better;1;1;0;0;
