Regex;Lines;Visited;Cache Size(Found);Max CS;Status
^[a-z0-9A-Z_ /-]{0,256}[a-z0-9A-Z_ -]{1,253}\.js$;118;30114;30253;253;Text generated.
^[a-z0-9-!#\$%&'*+/=?^_`{|}\~]+(?:[.][a-z0-9-!#\$%&'*+/=?^_`{|}\~]+)*@(?:[a-z0-9](?:[a-z0-9-]{0,61}[a-z0-9])?[.])+[a-z-]{2,24}$;2289;22702;60805;13;TIMEOUT.
^[-a-z0-9!#$%&'*+/=?^_`{|}~]+(?:\.[-a-z0-9!#$%&'*+/=?^_`{|}~]+)*@(?:[a-z0-9]([-a-z0-9]{0,61}[a-z0-9])?\.)*(?:aero|arpa|asia|biz|cat|com|coop|edu|gov|info|int|jobs|mil|mobi|museum|name|net|org|pro|tel|travel|[a-z][a-z])$;247;19100;35318;9;TIMEOUT.
^[^@]+@[^@]+\.[^@]{2,63}$;377;19320;37928;63;TIMEOUT.
^([a-zA-Z0-9]([a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?\.)+[a-zA-Z]{2,8}$;7;506;7724;8;Text generated.
^([a-zA-Z0-9]([a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?\.)+[a-zA-Z]{2,8}$;129;18424;34126;8;Text generated.
^([a-zA-Z0-9]([a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?\.)+[a-zA-Z]{2,8}$;138;19230;35732;8;TIMEOUT.
^([a-zA-Z0-9]([a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?\.)+[a-zA-Z]{2,6}$;164;15322;28665;5;Text generated.
^([a-zA-Z0-9]([a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?\.)+[a-zA-Z]{2,6}$;229;20034;37382;6;TIMEOUT.
^([a-zA-Z0-9\*]([a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?\.)+[a-zA-Z]{2,6}$;123;11168;21028;5;Text generated.
^([a-zA-Z0-9\*]([a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?\.)+[a-zA-Z]{2,6}$;233;20406;38063;6;TIMEOUT.
^(?:http)s?://(?:(?:[A-Z0-9](?:[A-Z0-9-]{0,61}[A-Z0-9])?\.)+(?:[A-Z]{2,6}\.?|[A-Z0-9-]{2,}\.?))(?:/?|[/?][^ \n\t\r\f]+)$;181;11052;20596;8;Text generated.
^(?:http)s?://(?:(?:[A-Z0-9](?:[A-Z0-9-]{0,61}[A-Z0-9])?\.)+(?:[A-Z]{2,6}\.?|[A-Z0-9-]{2,}\.?))(?:/?|[/?][^ \n\t\r\f]+)$;419;25808;47496;9;TIMEOUT.
^(?:[a-z0-9](?:[a-z0-9-]{0,61}[a-z0-9])?[.])+[a-z]{2,6}$;419;25808;47496;9;Text generated.
^(?:[a-z0-9](?:[a-z0-9-]{0,61}[a-z0-9])?[.])+[a-z]{2,6}$;179;16500;30874;5;Text generated.
^(?:[a-z0-9](?:[a-z0-9-]{0,61}[a-z0-9])?[.])+[a-z]{2,6}$;274;24746;46078;6;TIMEOUT.
^(.{2,250}) ([0-9]{4,10}) ([^,]{2,80}) *(,.+)?$;8241;20965;21379;1;Text generated.
^(.{2,250}) ([0-9]{4,10}) ([^,]{2,80}) *(,.+)?$;10831;27354;27770;1;TIMEOUT.
^(.{0,256}):?[a-zA-Z][-_a-zA-Z0-9]{0,255}$;151;16870;17148;1;Text generated.
^(.{0,256}):?[a-zA-Z][-_a-zA-Z0-9]{0,255}$;238;30045;30089;1;Text generated.
^ (.{30}) .* (.{30}) $;917;21208;39676;30;TIMEOUT.
.*/#(.{0,255})#/$;674;19002;53338;6;TIMEOUT.
(^[a-z]:)?/.{1,50}$;435;15276;29703;50;Text generated.
(^[a-z]:)?/.{1,50}$;621;21492;41767;50;TIMEOUT.
^[a-z0-9-!#\$%&'*+/=?^_`{|}\~]+(?:[.][a-z0-9-!#\$%&'*+/=?^_`{|}\~]+)*@(?:[a-z0-9](?:[a-z0-9-]{0,61}[a-z0-9])?[.])+[a-z-]{2,24}$;1371;14684;39499;12;TIMEOUT.
^(.{0,256}):?[a-zA-Z][-_a-zA-Z0-9]{0,255}$;145;16725;16952;1;Text generated.
^(.{0,256}):?[a-zA-Z][-_a-zA-Z0-9]{0,255}$;151;16870;17109;1;Text generated.
^(.{0,256}):?[a-zA-Z][-_a-zA-Z0-9]{0,255}$;238;30045;30089;1;Text generated.
^ (.{30}) .* (.{30}) $;680;15994;29934;30;TIMEOUT.
^(?:([^\"&'/:<>@]{1,1000})@)?([^/@]{1,1000})(?:/(.{1,1000}))?$;6;3003;3003;1;Text generated.
^[a-zA-Z0-9.\-]{2,256}\.[a-z]{2,6}$;257;2021;2021;1;Text generated.
