Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
^X?PAT\s+[^\n]{0};ERROR WHILE GENERATING TEXT.
^X?PAT\s+[^\n]{20};22;236;236;1;20;20;20;0,00175;12;27;114;Text generated.
^X?PAT\s+[^\n]{40};42;866;866;1;40;40;40;0,0123;12;27;138;Text generated.
^X?PAT\s+[^\n]{60};62;1896;1896;1;60;60;60;0,03965;12;27;217;Text generated.
^X?PAT\s+[^\n]{80};66;3003;3020;1;80;80;80;0,0853;12;27;448;Text generated.
^X?PAT\s+[^\n]{100};45;3027;3085;1;100;100;100;0,076791;12;27;902;Text generated.
^X?PAT\s+[^\n]{120};52;3025;3096;1;120;120;120;0,09022;12;27;1357;Text generated.
^X?PAT\s+[^\n]{140};62;3100;3181;1;140;140;140;0,153455;12;27;1875;Text generated.
^X?PAT\s+[^\n]{160};59;3120;3224;1;160;160;160;0,263088;12;27;2423;Text generated.
^X?PAT\s+[^\n]{180};39;3036;3180;1;180;180;180;0,291126;12;27;2968;Text generated.
^X?PAT\s+[^\n]{200};31;3078;3250;1;200;200;200;0,30889;12;27;3459;Text generated.
^X?PAT\s+[^\n]{220};25;3069;3267;1;220;220;220;0,304389;12;27;3970;Text generated.
^X?PAT\s+[^\n]{240};21;3043;3265;1;240;240;240;0,300915;12;27;4486;Text generated.
