Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S{157}|(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S{125}|(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S+\s+\S{1025}|(0x[ 0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S+\s+\S+\s+\S{117}|(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S+\s+\S+\s+\S+\s+\S{37};TIMEOUT.
.* [fF][iI][nN][dD] [^\x20]{1024};3;1032;1036;1;1024;1024;1;0,001029;25;92;74543;Text generated.
.* [rR][eE][nN][aA][mM][eE] [^\x20]{1024};3;1034;1040;1;1024;1024;1;0,001031;33;126;75909;Text generated.
.* BODY\.PEEK\[[^\]]{1024};3;1037;2061;1;1024;1024;1;0,002049;45;232;76928;Text generated.
.* BODY\[[^\]]{1024};3;1032;2056;1;1024;1024;1;0,002049;25;122;79336;Text generated.
.* CREATE [^\x20]{1024};3;1034;1040;1;1024;1024;1;0,001031;33;126;81224;Text generated.
\(\s*(\x20[^\x20]*\x20|\x20[^\x20]+\x20)\s*,\s*(\x20[^\x20]{1024,}|\x20[^\x20]{1024,});2;1033;3084;1;1024;1024;1;0,003074;32;139;82138;TIMEOUT.
\(\s*(\x20[^\x20]*\x20|\x20[^\x20]+\x20)\s*,\s*(\x20[^\x20]{1024,}|\x20[^\x20]{1024,});2;1033;3084;1;1024;1024;1;0,003074;32;139;82138;Text generated.
\(\s*(\x20[^\x20]{1024,}|\x20[^\x20]{1024,});2;1027;2051;1;1024;1024;1;0,002049;10;36;119976;Text generated.
\(\s*(\x20[^\x20]{1075,}|\x20[^\x20]{1075,});2;1078;2153;1;1075;1075;1;0,002151;10;36;121954;Text generated.
\/OvCgi\/[^\.]*\.exe[^\x20]{2000,};1;0;2909;1;2000;2000;1;0,002898;102;671;124390;TIMEOUT.
\sCREATE\s[^\n]{1024};1;0;1224;1;1024;1024;1;0,001219;16;65;158432;TIMEOUT.
\sPARTIAL.*BODY\.PEEK\[[^\]]{1024};2;25;582;1;1024;1024;1;0,00056;76;497;247013;TIMEOUT.
\sPARTIAL.*BODY\[[^\]]{1024};2;20;1039;1;1024;1024;1;0,00102;56;352;342953;TIMEOUT.
\x20WebID\x20IISWebAgentIF.dll[^\n\x20\x20]*\x20Redirect\x20url=[^\n\x20\x20]{1024};1;0;424;1;1024;1024;1;0,000386;80;243;373975;TIMEOUT.
^\s*MAIL\s+[^\s\n][^\n]{1006,};1;0;499;1;1006;1006;1;0,000494;10;18;403202;TIMEOUT.
