Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
([*]a[_] ){20}[*]a_;1;81;81;1;20;20;20;0,00084;8;23;37;Text generated.
([*]a[_] ){40}[*]a_;1;161;161;1;40;40;40;0,00328;8;23;80;Text generated.
([*]a[_] ){60}[*]a_;1;241;241;1;60;60;60;0,00732;8;23;94;Text generated.
([*]a[_] ){80}[*]a_;1;321;321;1;80;80;80;0,01296;8;23;109;Text generated.
([*]a[_] ){100}[*]a_;1;401;401;1;100;100;100;0,0202;8;23;128;Text generated.
([*]a[_] ){120}[*]a_;1;481;481;1;120;120;120;0,02904;8;23;150;Text generated.
([*]a[_] ){140}[*]a_;1;561;561;1;140;140;140;0,03948;8;23;181;Text generated.
([*]a[_] ){160}[*]a_;1;641;641;1;160;160;160;0,05152;8;23;219;Text generated.
([*]a[_] ){180}[*]a_;1;721;721;1;180;180;180;0,06516;8;23;275;Text generated.
([*]a[_] ){200}[*]a_;1;801;801;1;200;200;200;0,0804;8;23;323;Text generated.
([*]a[_] ){220}[*]a_;1;881;881;1;220;220;220;0,09724;8;23;374;Text generated.
([*]a[_] ){240}[*]a_;1;961;961;1;240;240;240;0,11568;8;23;426;Text generated.
([*]a[_] ){260}[*]a_;1;1041;1041;1;260;260;260;0,13572;8;23;496;Text generated.
([*]a[_] ){280}[*]a_;1;1121;1121;1;280;280;280;0,15736;8;23;562;Text generated.
([*]a[_] ){300}[*]a_;1;1201;1201;1;300;300;300;0,1806;8;23;633;Text generated.
([*]a[_] ){320}[*]a_;1;1281;1281;1;320;320;320;0,20544;8;23;723;Text generated.
([*]a[_] ){340}[*]a_;1;1361;1361;1;340;340;340;0,23188;8;23;821;Text generated.
([*]a[_] ){360}[*]a_;1;1441;1441;1;360;360;360;0,25992;8;23;937;Text generated.
([*]a[_] ){380}[*]a_;1;1521;1521;1;380;380;380;0,28956;8;23;1045;Text generated.
([*]a[_] ){400}[*]a_;1;1601;1601;1;400;400;400;0,3208;8;23;1166;Text generated.
([*]a[_] ){420}[*]a_;1;1681;1681;1;420;420;420;0,35364;8;23;1305;Text generated.
([*]a[_] ){440}[*]a_;1;1761;1761;1;440;440;440;0,38808;8;23;1492;Text generated.
([*]a[_] ){460}[*]a_;1;1841;1841;1;460;460;460;0,42412;8;23;1648;Text generated.
([*]a[_] ){480}[*]a_;1;1921;1921;1;480;480;480;0,46176;8;23;1812;Text generated.
([*]a[_] ){500}[*]a_;1;2001;2001;1;500;500;500;0,501;8;23;2020;Text generated.
([*]a[_] ){520}[*]a_;1;2081;2081;1;520;520;520;0,54184;8;23;2215;Text generated.
([*]a[_] ){540}[*]a_;1;2161;2161;1;540;540;540;0,58428;8;23;2426;Text generated.
([*]a[_] ){560}[*]a_;1;2241;2241;1;560;560;560;0,62832;8;23;2649;Text generated.
([*]a[_] ){580}[*]a_;1;2321;2321;1;580;580;580;0,67396;8;23;2887;Text generated.
([*]a[_] ){600}[*]a_;1;2401;2401;1;600;600;600;0,7212;8;23;3148;Text generated.
([*]a[_] ){620}[*]a_;1;2481;2481;1;620;620;620;0,77004;8;23;3424;Text generated.
([*]a[_] ){640}[*]a_;1;2561;2561;1;640;640;640;0,82048;8;23;3734;Text generated.
([*]a[_] ){660}[*]a_;1;2641;2641;1;660;660;660;0,87252;8;23;4102;Text generated.
([*]a[_] ){680}[*]a_;1;2721;2721;1;680;680;680;0,92616;8;23;4443;Text generated.
([*]a[_] ){700}[*]a_;1;2801;2801;1;700;700;700;0,9814;8;23;4800;Text generated.
([*]a[_] ){720}[*]a_;1;2881;2881;1;720;720;720;1,03824;8;23;5180;Text generated.
([*]a[_] ){740}[*]a_;1;2961;2961;1;740;740;740;1,09668;8;23;5586;Text generated.
([*]a[_] ){760}[*]a_;1;3041;3041;1;760;760;760;1,15672;8;23;6025;Text generated.
([*]a[_] ){780}[*]a_;1;3121;3121;1;780;780;780;1,21836;8;23;6508;Text generated.
([*]a[_] ){800}[*]a_;1;3201;3201;1;800;800;800;1,2816;8;23;6981;Text generated.
([*]a[_] ){820}[*]a_;1;3281;3281;1;820;820;820;1,34644;8;23;7466;Text generated.
([*]a[_] ){840}[*]a_;1;3361;3361;1;840;840;840;1,41288;8;23;7984;Text generated.
([*]a[_] ){860}[*]a_;1;3441;3441;1;860;860;860;1,48092;8;23;8702;Text generated.
([*]a[_] ){880}[*]a_;1;3521;3521;1;880;880;880;1,55056;8;23;9284;Text generated.
([*]a[_] ){900}[*]a_;1;3601;3601;1;900;900;900;1,6218;8;23;9902;Text generated.
([*]a[_] ){920}[*]a_;1;3681;3681;1;920;920;920;1,69464;8;23;10577;Text generated.
([*]a[_] ){940}[*]a_;1;3761;3761;1;940;940;940;1,76908;8;23;11267;Text generated.
([*]a[_] ){960}[*]a_;1;3841;3841;1;960;960;960;1,84512;8;23;11947;Text generated.
([*]a[_] ){980}[*]a_;1;3921;3921;1;980;980;980;1,92276;8;23;12691;Text generated.
([*]a[_] ){1000}[*]a_;1;4001;4001;1;1000;1000;1000;2,002;8;23;13475;Text generated.
([*]a[_] ){1020}[*]a_;1;4081;4081;1;1020;1020;1020;2,08284;8;23;14265;Text generated.
([*]a[_] ){1040}[*]a_;1;4161;4161;1;1040;1040;1040;2,16528;8;23;15126;Text generated.
