Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
^X?PAT\s+[^\n]{0};ERROR WHILE GENERATING TEXT.
^X?PAT\s+[^\n]{20};16;144;151;1;20;20;20;0,001505;12;27;84;Text generated.
^X?PAT\s+[^\n]{40};16;444;471;1;40;40;40;0,006225;12;27;105;Text generated.
^X?PAT\s+[^\n]{60};16;744;791;1;60;60;60;0,011745;12;27;142;Text generated.
^X?PAT\s+[^\n]{80};16;1044;1111;1;80;80;80;0,018065;12;27;189;Text generated.
^X?PAT\s+[^\n]{100};16;939;1026;1;100;100;100;0,01911;12;27;265;Text generated.
^X?PAT\s+[^\n]{120};16;487;594;1;120;120;120;0,03889;12;27;337;Text generated.
^X?PAT\s+[^\n]{140};16;787;914;1;140;140;140;0,07075;12;27;405;Text generated.
^X?PAT\s+[^\n]{160};16;1087;1234;1;160;160;160;0,10341;12;27;499;Text generated.
^X?PAT\s+[^\n]{180};16;1387;1554;1;180;180;180;0,13687;12;27;634;Text generated.
^X?PAT\s+[^\n]{200};16;1687;1874;1;200;200;200;0,17113;12;27;798;Text generated.
^X?PAT\s+[^\n]{220};16;1987;2194;1;220;220;220;0,20619;12;27;993;Text generated.
^X?PAT\s+[^\n]{240};16;2287;2514;1;240;240;240;0,24205;12;27;1246;Text generated.
^X?PAT\s+[^\n]{260};16;2587;2834;1;260;260;260;0,27871;12;27;1560;Text generated.
^X?PAT\s+[^\n]{280};16;2887;3154;1;280;280;280;0,31617;12;27;1954;Text generated.
^X?PAT\s+[^\n]{300};16;3187;3474;1;300;300;300;0,35443;12;27;2412;Text generated.
^X?PAT\s+[^\n]{320};16;3487;3794;1;320;320;320;0,39349;12;27;2957;Text generated.
^X?PAT\s+[^\n]{340};16;3787;4114;1;340;340;340;0,43335;12;27;3669;Text generated.
^X?PAT\s+[^\n]{360};16;4087;4434;1;360;360;360;0,47401;12;27;4418;Text generated.
^X?PAT\s+[^\n]{380};16;4387;4754;1;380;380;380;0,51547;12;27;5315;Text generated.
^X?PAT\s+[^\n]{400};16;4687;5074;1;400;400;400;0,55773;12;27;6345;Text generated.
^X?PAT\s+[^\n]{420};16;4987;5394;1;420;420;420;0,60079;12;27;7446;Text generated.
^X?PAT\s+[^\n]{440};16;5287;5714;1;440;440;440;0,64465;12;27;8721;Text generated.
^X?PAT\s+[^\n]{460};16;5587;6034;1;460;460;460;0,68931;12;27;10178;Text generated.
^X?PAT\s+[^\n]{480};16;5887;6354;1;480;480;480;0,73477;12;27;11851;Text generated.
^X?PAT\s+[^\n]{500};16;6187;6674;1;500;500;500;0,78103;12;27;13687;Text generated.
^X?PAT\s+[^\n]{520};16;6487;6994;1;520;520;520;0,82809;12;27;15723;Text generated.
^X?PAT\s+[^\n]{540};16;6787;7314;1;540;540;540;0,87595;12;27;18121;Text generated.
^X?PAT\s+[^\n]{560};16;7087;7634;1;560;560;560;0,92461;12;27;20705;Text generated.
^X?PAT\s+[^\n]{580};16;7387;7954;1;580;580;580;0,97407;12;27;23727;Text generated.
^X?PAT\s+[^\n]{600};16;7687;8274;1;600;600;600;1,02433;12;27;27097;Text generated.
^X?PAT\s+[^\n]{620};16;7987;8594;1;620;620;620;1,07539;12;27;30553;Text generated.
^X?PAT\s+[^\n]{640};16;8287;8914;1;640;640;640;1,12725;12;27;34420;Text generated.
^X?PAT\s+[^\n]{660};16;8587;9234;1;660;660;660;1,17991;12;27;38389;Text generated.
^X?PAT\s+[^\n]{680};16;8887;9554;1;680;680;680;1,23337;12;27;43354;Text generated.
^X?PAT\s+[^\n]{700};16;9187;9874;1;700;700;700;1,28763;12;27;48480;Text generated.
^X?PAT\s+[^\n]{720};16;9487;10194;1;720;720;720;1,34269;12;27;53315;Text generated.
^X?PAT\s+[^\n]{740};16;9787;10514;1;740;740;740;1,39855;12;27;58943;Text generated.
^X?PAT\s+[^\n]{760};16;10087;10834;1;760;760;760;1,45521;12;27;64945;Text generated.
^X?PAT\s+[^\n]{780};16;10387;11154;1;780;780;780;1,51267;12;27;74591;Text generated.
^X?PAT\s+[^\n]{800};16;10687;11474;1;800;800;800;1,57093;12;27;80988;Text generated.
^X?PAT\s+[^\n]{820};16;10987;11794;1;820;820;820;1,62999;12;27;88538;Text generated.
^X?PAT\s+[^\n]{840};16;11287;12114;1;840;840;840;1,68985;12;27;95693;Text generated.
^X?PAT\s+[^\n]{860};16;11587;12434;1;860;860;860;1,75051;12;27;103587;Text generated.
^X?PAT\s+[^\n]{880};16;11887;12754;1;880;880;880;1,81197;12;27;113960;Text generated.
^X?PAT\s+[^\n]{900};16;12187;13074;1;900;900;900;1,87423;12;27;121915;Text generated.
^X?PAT\s+[^\n]{920};16;12487;13394;1;920;920;920;1,93729;12;27;131888;Text generated.
^X?PAT\s+[^\n]{940};16;12787;13714;1;940;940;940;2,00115;12;27;141215;Text generated.
^X?PAT\s+[^\n]{960};16;13087;14034;1;960;960;960;2,06581;12;27;151365;Text generated.
^X?PAT\s+[^\n]{980};16;13387;14354;1;980;980;980;2,13127;12;27;163501;Text generated.
^X?PAT\s+[^\n]{1000};16;9227;10214;1;1000;1000;1000;1,73369;12;27;176717;Text generated.
^X?PAT\s+[^\n]{1020};16;2197;3204;1;1020;1020;1020;1,36441;12;27;182305;Text generated.
^X?PAT\s+[^\n]{1020};16;2197;3204;1;1020;1020;1020;1,36441;12;27;183392;Text generated.
^X?PAT\s+[^\n]{1040};16;2497;3524;1;1040;1040;1040;1,66807;12;27;184442;Text generated.
^X?PAT\s+[^\n]{1060};16;2797;3844;1;1060;1060;1060;1,97253;12;27;185628;Text generated.
