Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
(_a ){20}_a;1;61;61;1;20;20;20;0,00063;6;17;99;Text generated.
(_a ){40}_a;1;121;121;1;40;40;40;0,00246;6;17;191;Text generated.
(_a ){60}_a;1;181;181;1;60;60;60;0,00549;6;17;216;Text generated.
(_a ){80}_a;1;241;241;1;80;80;80;0,00972;6;17;248;Text generated.
(_a ){100}_a;1;301;301;1;100;100;100;0,01515;6;17;284;Text generated.
(_a ){120}_a;1;361;361;1;120;120;120;0,02178;6;17;340;Text generated.
(_a ){140}_a;1;421;421;1;140;140;140;0,02961;6;17;403;Text generated.
(_a ){160}_a;1;481;481;1;160;160;160;0,03864;6;17;477;Text generated.
(_a ){180}_a;1;541;541;1;180;180;180;0,04887;6;17;546;Text generated.
(_a ){200}_a;1;601;601;1;200;200;200;0,0603;6;17;633;Text generated.
(_a ){220}_a;1;661;661;1;220;220;220;0,07293;6;17;719;Text generated.
(_a ){240}_a;1;721;721;1;240;240;240;0,08676;6;17;799;Text generated.
(_a ){260}_a;1;781;781;1;260;260;260;0,10179;6;17;896;Text generated.
(_a ){280}_a;1;841;841;1;280;280;280;0,11802;6;17;993;Text generated.
(_a ){300}_a;1;901;901;1;300;300;300;0,13545;6;17;1110;Text generated.
(_a ){320}_a;1;961;961;1;320;320;320;0,15408;6;17;1230;Text generated.
(_a ){340}_a;1;1021;1021;1;340;340;340;0,17391;6;17;1370;Text generated.
(_a ){360}_a;1;1081;1081;1;360;360;360;0,19494;6;17;1588;Text generated.
(_a ){380}_a;1;1141;1141;1;380;380;380;0,21717;6;17;1785;Text generated.
(_a ){400}_a;1;1201;1201;1;400;400;400;0,2406;6;17;1929;Text generated.
(_a ){420}_a;1;1261;1261;1;420;420;420;0,26523;6;17;2109;Text generated.
(_a ){440}_a;1;1321;1321;1;440;440;440;0,29106;6;17;2275;Text generated.
