Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
 (H(T(T(P(\/(\d+(\.(\d+\r?)?)?)?)?)?)?)?)?;ERROR WHILE CONVERTING TO DCA.
 (H(T(T(P(\/(\d+(\.(\d+\r?)?)?)?)?)?)?)?)?\Z;ERROR WHILE CONVERTING TO DCA.
 IN[ ]*\([ ]*([0-9]+|'[^']*')([ ]*,[ ]*([0-9]+|'[^']*')[ ]*){0,5}[ ]*\);ERROR WHILE CONVERTING TO DCA.
%((?:-?\+.?\d*)?|(?:\[[^\[|\\]]*\\]))?([sjdDZ]);ERROR WHILE CONVERTING TO DCA.
%(?:\d+\$)?[#0\- +']*[,;:_]?(?:-?\d+|\*(?:-?\d+\$)?)?(?:\.(?:-?\d+|\*(?:-?\d+\$)?)?)?(?:hh|h|ll|l|j|t|z|q|L|vh|vl|v|hv|hl)?[diouxXDOUeEfFgGaACcSspn%];ERROR WHILE CONVERTING TO DCA.
%(?:\s*[0-9a-f]){2,};ERROR WHILE CONVERTING TO DCA.
%{([slodipvh])((?:(?:\d+)?r?)?)?([-.+,/_=])?};ERROR WHILE CONVERTING TO DCA.
&([a-zA-Z][a-zA-Z0-9]*|#[0-9]*)?|<([a-zA-Z][^<>]*|/([a-zA-Z][^<>]*)?|![^<>]*)?;ERROR WHILE CONVERTING TO DCA.
(#[0-9a-f]{6}|#[0-9a-f]{3}|#(?:[0-9a-f]{2}){2,4}|(rgb|hsl)a?\((-?\d+%?[,\s]+){2,3}\s*[\d\.]+%?\));ERROR WHILE CONVERTING TO DCA.
(( )*\n){3,};ERROR WHILE CONVERTING TO DCA.
((([0-9A-Fa-f]{1,4}:){7}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){6}:[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){5}:([0-9A-Fa-f]{1,4}:)?[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){4}:([0-9A-Fa-f]{1,4}:){0,2}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){3}:([0-9A-Fa-f]{1,4}:){0,3}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){2}:([0-9A-Fa-f]{1,4}:){0,4}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){6}((\d((25[0-5])|(1\d{2})|(2[0-4]\d)|(\d{1,2}))\d)\.){3}(\d((25[0-5])|(1\d{2})|(2[0-4]\d)|(\d{1,2}))\d))|(([0-9A-Fa-f]{1,4}:){0,5}:((\d((25[0-5])|(1\d{2})|(2[0-4]\d)|(\d{1,2}))\d)\.){3}(\d((25[0-5])|(1\d{2})|(2[0-4]\d)|(\d{1,2}))\d))|(::([0-9A-Fa-f]{1,4}:){0,5}((\d((25[0-5])|(1\d{2})|(2[0-4]\d)|(\d{1,2}))\d)\.){3}(\d((25[0-5])|(1\d{2})|(2[0-4]\d)|(\d{1,2}))\d))|([0-9A-Fa-f]{1,4}::([0-9A-Fa-f]{1,4}:){0,5}[0-9A-Fa-f]{1,4})|(::([0-9A-Fa-f]{1,4}:){0,6}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){1,7}:));TIMEOUT.
((([a-zA-Z]+(-[a-zA-Z0-9]+){0,2})|\*)(;q=[0-1](\.[0-9]+)?)?)*;ERROR WHILE CONVERTING TO DCA.
((.*)(<strong>.*<\/strong>)){2};ERROR WHILE CONVERTING TO DCA.
((.*)(<strong>.*<\/strong>)){3};ERROR WHILE CONVERTING TO DCA.
((?: [A-Za-z]+[ ]?[+-]?|Z| [+-])(?:[0-9]{1,2}(?::?[0-9]{1,2})?)?)([ ]*[A-Za-z]+)?;ERROR WHILE CONVERTING TO DCA.
((?: +[\dA-F]{4}){10,});ERROR WHILE CONVERTING TO DCA.
((?:(?:0|1[\d]{0,2}|2(?:[0-4]\d?|5[0-5]?|[6-9])?|[3-9]\d?)\.){3}(?:0|1[\d]{0,2}|2(?:[0-4]\d?|5[0-5]?|[6-9])?|[3-9]\d?));ERROR WHILE CONVERTING TO DCA.
((?:.*(?:\n|$)){3})$;ERROR WHILE CONVERTING TO DCA.
((?:.|[\r\n])*)(\{(?:l10n:([a-zA-Z_][a-zA-Z0-9_\-]*(?:\.[a-zA-Z_][a-zA-Z0-9_\-]*)*(?:\.\{[a-zA-Z_][a-zA-Z0-9_\-]*\})?)\})?|<(\/|!--(\s*\{)?)?|$);ERROR WHILE CONVERTING TO DCA.
((?:::){0,1}(?:[a-z_](?:[\w-]*[\w])?))+;ERROR WHILE CONVERTING TO DCA.
((?:[^\n]*\n?){1,40});ERROR WHILE CONVERTING TO DCA.
((?:[0-9$lets](?:\s+|-|\.)?){5,});ERROR WHILE CONVERTING TO DCA.
((?:[0-9]*\.){3}[0-9]*);ERROR WHILE CONVERTING TO DCA.
