Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
([1-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])(\.([0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])){3};ERROR WHILE CONVERTING TO DCA.
(?:[a-z0-9][\w\-]*[a-z0-9]*\.)*(?:(?:(?:[a-z0-9][\w\-]*[a-z0-9]*)(?:\.[a-z0-9]+)?)|(?:(?:(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\.){3}(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)));ERROR WHILE CONVERTING TO DCA.
((2[0-5][0-5]|1[\d][\d]|[\d][\d]|[\d])\.){3}(2[0-5][0-5]|1[\d][\d]|[\d][\d]|[\d]);ERROR WHILE CONVERTING TO DCA.
((0[1-9]|1[0-9]|2[0-4])([0-5]\d){2});ERROR WHILE CONVERTING TO DCA.
([0-9a-zA-Z]+(?:[_\.\-]?[0-9a-zA-Z]+)*[@](?:[0-9a-zA-Z]+(?:[_\.\-]?[0-9a-zA-Z]+)*\.[a-zA-Z]{2,}|(?:\d{1,}\.){3}\d{1,}));ERROR WHILE CONVERTING TO DCA.
(0\.|([1-9]([0-9]+)?)\.){3}(0|([1-9]([0-9]+)?)){1};ERROR WHILE CONVERTING TO DCA.
(\d\.?){3};ERROR WHILE CONVERTING TO DCA.
(border|margin):(\d+(?:\p{Alpha}*))(\2){3};ERROR WHILE CONVERTING TO DCA.
^(?:\s+([\w.-]+)\s+\((.+)\)\n){2,};ERROR WHILE CONVERTING TO DCA.
(?:(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\\.){3}(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?);ERROR WHILE CONVERTING TO DCA.
^([A-Za-z]+, ){8}[A-Za-z]+ & [A-Za-z]+$;ERROR WHILE CONVERTING TO DCA.
(?:(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\.){3}(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?);ERROR WHILE CONVERTING TO DCA.
\.package\(url:\s\"https:\/\/(www\.)?[-a-zA-Z0-9@:%._+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_+.~#?&//=]*).git\",\s((\.upToNextMajor|\.upToNextMinor)\(from:\s\"(-?\d+\.){2}-?\d+\"\)|from:\s\"(-?\d+\.){2}-?\d+\")\),?$;ERROR WHILE CONVERTING TO DCA.
^([-\w=+/]+\.){2}[-\w=+/]+$;ERROR WHILE CONVERTING TO DCA.
(\r\n|\n){2};ERROR WHILE CONVERTING TO DCA.
^([-*]\s?){3};ERROR WHILE CONVERTING TO DCA.
([0-2]?[0-9])((?::[0-5][0-9]){0,2})([PpAa]\.?[Mm]\.?)?;ERROR WHILE CONVERTING TO DCA.
<sip:quaff@(\d+\.){3}\d+:\d+;transport=UDP;ob>$;ERROR WHILE CONVERTING TO DCA.
\Apeugeot-206-([a-z0-9]+\-){4}[a-z0-9]+\z;ERROR WHILE CONVERTING TO DCA.
ISBN +(?:97[89][ -]?)?(?:\d[ -]?){9}[\dx]\b|(?:RFC|PMID) +\d+;ERROR WHILE CONVERTING TO DCA.
\A([\w']+\.? ?){2,3}\z;ERROR WHILE CONVERTING TO DCA.
^(?:localhost|::1|(?:[01]?\d?\d|2[0-4]\d|25[0-5])(\.(?:[01]?\d?\d|2[0-4]\d|25[0-5])){3})$;ERROR WHILE CONVERTING TO DCA.
(\n\s+)(criterion .*\n)(\s.+){1,99};ERROR WHILE CONVERTING TO DCA.
^(.\udf1a\u0020\ud83c.){3}$;ERROR WHILE CONVERTING TO DCA.
^\s+[A-Z](\s+\d+,){3};ERROR WHILE CONVERTING TO DCA.
CMD(?:\s+\S+){9}\s+(\S+)(?:\s+\S+){2}\s+(\d+):(\d+):(\d+);ERROR WHILE CONVERTING TO DCA.
(\u2014|--|__|-\w)|(^Sent from my (\w+\s*){1,3});ERROR WHILE CONVERTING TO DCA.
(\[\*[\+\-\=\~]? (PROCESS|WRAPPER|FOREACH|BLOCK|END|INSERT|INCLUDE)\b .* [\+\-\=\~]?\*\].*){2};ERROR WHILE CONVERTING TO DCA.
Deployment 'simple1'\s*\n\nInstance\s+Process\s+State\s+AZ\s+IPs\s+VM\s+CID\s+VM\s+Type\s+Active\s*\n(foobar1\/\w+-\w+-\w+-\w+-\w+\s+running\s+-\s+\d+.\d+.\d+.\d+\s+\d+\s+a\s+true\s*\n){2}\n2 vms;ERROR WHILE CONVERTING TO DCA.
^(full|square|(pct:)?([\d.]+,){3}([\d.]+))$;ERROR WHILE CONVERTING TO DCA.
.(.)(.)(?: 1.\2){4};ERROR WHILE CONVERTING TO DCA.
(\<([\?\%])[\+\-\=\~]? $TT .* [\+\-\=\~]?\1\>.*){3};ERROR WHILE CONVERTING TO DCA.
((25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)(\.|$)){4};ERROR WHILE CONVERTING TO DCA.
^[a-z0-9]+([._\\-]*[a-z0-9])*@([a-z0-9]+[-a-z0-9]*[a-z0-9]+.){1,63}[a-z0-9]+$;ERROR WHILE CONVERTING TO DCA.
