Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
^.{0,23}Wtzup Use;24;204;204;1;23;23;1;0,000195;35;117;52;Text generated.
^.{0,24}ISSPNGRQ;25;197;197;1;24;24;1;0,000189;31;103;129;Text generated.
^.{0,24}\x49\x53\x53\x50\x4e\x47\x52\x51;25;197;197;1;24;24;1;0,000189;31;103;168;Text generated.
^.{0,92}\x38\x39\x3a\x3b\x3c\x3d\x3e\x3f;93;809;809;1;92;92;1;0,000801;31;103;196;Text generated.
^200 [^\x0a]{64};1;69;69;1;64;64;1;6,5E-05;7;10;378;Text generated.
^.{24}.{0,17}NAMENAME;19;172;162;2;24;41;1;0,00015;38;113;410;Text generated.
^.{24}.{0,17}\x4e\x41\x4d\x45\x4e\x41\x4d\x45;19;172;162;2;24;41;1;0,00015;38;113;439;Text generated.
^.{29}6[iI][sS][sS] [eE][cC][nN][rR][aA] [bB][uU][iI][lL][tT]-[iI][nN] [pP][rR][oO][vV][iI][dD][eE][rR], [sS][tT][rR][oO][nN][gG] [eE][nN][cC][rR][yY][pP][tT][iI][oO][nN];1;77;77;1;29;29;1;3E-05;48;49;520;Text generated.
^.{53}.*[aA][uU][tT][hH][eE][nN][tT][iI][cC][aA][tT][iI][oO][nN] [uU][nN][sS][uU][cC][cC][eE][sS][sS][fF][uU][lL];1;82;82;1;53;53;1;5,4E-05;55;162;561;Text generated.
^.{82}.*Login failed for user 'sa';1;110;110;1;82;82;1;8,3E-05;53;156;602;Text generated.
^.{82}.*Login failed for user \x27sa\x27;1;110;110;1;82;82;1;8,3E-05;53;156;649;Text generated.
^.* [aA][uU][tT][hH][eE][nN][tT][iI][cC][aA][tT][eE] [^\x0a]{100};2877;30003;42643;1;100;100;4;0,117979;56;292;696;Text generated.
^[aA][uU][tT][hH][iI][nN][fF][oO] [uU][sS][eE][rR] [^\x0a]{500};1;515;515;1;500;500;1;0,000501;17;20;129895;Text generated.
^.*[aA][uU][tT][hH][oO][rR][iI][zZ][aA][tT][iI][oO][nN]: [bB][aA][sS][iI][cC] [^\x0A]{512};74;30249;55434;1;512;512;3;0,135228;84;450;130015;Text generated.
^.*[aA][uU][tT][hH][oO][rR][iI][zZ][aA][tT][iI][oO][nN]: [bB][aA][sS][iI][cC] [^\x0A]{512};74;30249;55434;1;512;512;3;0,135228;84;450;566923;Text generated.
^.*[aA][uU][tT][hH][oO][rR][iI][zZ][aA][tT][iI][oO][nN]\x3A [bB][aA][sS][iI][cC] [^\x0A]{512};74;30249;55434;1;512;512;3;0,135228;84;450;981311;Text generated.
^.*[aA][uU][tT][hH][^\x0a]{50};1070;30022;54699;1;50;50;6;0,229289;16;76;1423992;Text generated.
^.*[cC][eE][lL] [^\x0a]{100};2144;30061;52161;1;100;100;6;0,192684;16;76;1636434;Text generated.
^.* [cC][hH][oO][wW][nN] [^\x0a]{100};3026;30000;54193;1;100;100;6;0,180841;28;138;1826560;Text generated.
