Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
.{900,1000}#{255};100;6206;6206;2;1000;1255;1255;5,73814;5;11;42;Text generated.
.{900,1000}\.{100,};100;6051;6051;2;1000;1100;1100;5,55555;7;20;9757;Text generated.
.{900,1000}(={80});100;5841;5841;2;1000;1080;1080;5,32854;5;11;19168;Text generated.
.{900,1000}(={77});100;5775;5775;2;1000;1077;1077;5,258022;5;11;28291;Text generated.
Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
(#{254}a){900,1000}#{255};ERROR WHILE CONVERTING TO DCA.
(\.{99}a){900,1000}\.{100,};ERROR WHILE CONVERTING TO DCA.
(={79}a){900,1000}(={80});ERROR WHILE CONVERTING TO DCA.
(={76}a){900,1000)(={77});ERROR WHILE CONVERTING TO DCA.
