Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
([0-9a-zA-Z]{1000})\s{1000}(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s{1000}(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s{1000}(\w+)\s{1000}([a-zA-Z0-9\.\:\-]{1000});1;41109;12509;14;1000;6024;1001;3,614216;92;659;24764;TIMEOUT.
.{1000}A.{1000}(JSNRCHG|JSNRHM|TOM).{1000}([^K-U]QUM|IKSSUPRM)F[^DE][^A-D]{7,128}D.{1000};ERROR WHILE CONVERTING TO DCA.
.{1000}A.{1000}(JSNRCHG|JSNRHM|TOM).{1000}([^K-U]QUM|IKSSUPRM)F[^DE][^A-D]{7,128}D.{1000};ERROR WHILE CONVERTING TO DCA.
Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
([0-9a-zA-Z]{1000})\s{1000}(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s{1000}(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s{1000}(\w+)\s{1000}([a-zA-Z0-9\.\:\-]{1000});TIMEOUT.
([A-Za-z]{0,1000}[\.\,\s]{0,1000}[A-Za-z]{1,1000}[\.\s]{1,1000}[0-9]{1,2}[\,\s]{0,1000}[0-9]{4})| ([0-9]{0,4}[-,\s]{0,1000}[A-Za-z]{3,9}[-,\s]{0,1000}[0-9]{1,2}[-,\s]{0,1000}[A-Za-z]{0,8})| ([0-9]{1,4}[\/\.\-][0-9]{1,4}[\/\.\-][0-9]{1,4});TIMEOUT.
.{1000}\x20.{33}.{1000}\x20.{1000}.{0}.{1000}\x20;TIMEOUT.
.{1000}\x20.{33}.{1000}\x20.{1000}.{0}.{1000}\x20;ERROR WHILE FINDING CYCLES.
.{1000}A.{1000}(JSNRCHG|JSNRHM|TOM).{1000}([^K-U]QUM|IKSSUPRM)F[^DE][^A-D]{7,128}D.{1000};ERROR WHILE CONVERTING TO DCA.
.{1000}A.{1000}(JSNRCHG|JSNRHM|TOM).{1000}([^K-U]QUM|IKSSUPRM)F[^DE][^A-D]{7,128}D.{1000};ERROR WHILE CONVERTING TO DCA.
.{1000}A.{1000}(JSNRCHG|JSNRHM|TOM).{1000}([^K-U]QUM|IKSSUPRM)F[^DE][^A-D]{7,128}D.{1000};TIMEOUT.
^(.{1000}) ([0-9a-f]{40}) (.{1000}) ([0-9a-f]{40})$;1;2;74;4;1000;2080;1;0,000128;5;11;76;Text generated.
^(.{1000}) ([0-9a-f]{40}) (.{1000}) ([0-9a-f]{40})$;1;2;209;4;1000;2080;1;0,000276;5;11;76;TIMEOUT.
