Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
%?([0-9]{1})([0-9]{1})([A-Z0-9 ]{11})([A-Z0-9 ]{2})([A-Z0-9 ]{10})([A-Z0-9 ]{4})([1-2]{1})([0-9]{3})([0-9]{3})([A-Z ]{3})([A-Z ]{3})(.*)\?;1;60266;61840;8;11;39;27;0,843619;339;8120;383557;Text generated.
(.{1,980}[,])\s+(\S);1;60041;4598;1;980;980;980;2,388097;7;17;1189;Text generated.
([A-Za-z_][A-Za-z0-9_]{2,30}|(__.*__))$;1;59995;69636;1;30;30;30;1,326404;9;27;417054;Text generated.
(\d\d/\d\d)    (.{38}) ((\w|\s){3}) ((\s)*-?(\.|\d)*,\d\d) ((\s)*-?(\.|\d)*,\d\d);1;59990;37296;2;38;41;5;0,110635;188;1514;223216;Text generated.
(^[a-z]:)?/.{1,50}$;1;60008;75660;1;50;50;50;2,211361;2;4;338669;Text generated.
(__.{38});1;59983;56850;1;38;38;38;1,197662;4;11;176326;Text generated.
(20\d{6}[0-9a-f]{13})@ecouser.net/([0-9a-f]{8});1;60002;16939;3;13;27;9;0,073836;29;176;173903;Text generated.
(address .{0,60} changed | domain .{0,40} retired) .*\n          (has\s*been|was|have|will\s*be) \s* (forwarded|delivered);1;60066;44332;2;60;100;3;0,101637;1457;18743;132273;Text generated.
(captchaservice\w{200,1000});1;59985;41233;1;1000;1000;4;0,112467;56;296;61489;Text generated.
(https?:\/\/)?((www\.)?([-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}[\s]([-a-zA-Z0-9@:%_\+.~#?&\/=]*)));1;60103;7324;3;256;263;257;0,956002;61;428;3529;Text generated.
