Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
%?([0-9]{1})([0-9]{1})([A-Z0-9 ]{11})([A-Z0-9 ]{2})([A-Z0-9 ]{10})([A-Z0-9 ]{4})([1-2]{1})([0-9]{3})([0-9]{3})([A-Z ]{3})([A-Z ]{3})(.*)\?;1;0;132;8;11;39;21;0,001784;339;8120;60;Text generated.
(\d\d/\d\d)    (.{38}) ((\w|\s){3}) ((\s)*-?(\.|\d)*,\d\d) ((\s)*-?(\.|\d)*,\d\d);1;60;105;2;38;41;1;8,4E-05;188;1514;5;Text generated.
(^[a-z]:)?/.{1,50}$;1;52;118;1;50;50;50;0,002758;2;4;2;Text generated.
(https?:\/\/)?((www\.)?([-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}[\s]([-a-zA-Z0-9@:%_\+.~#?&\/=]*)));1;0;296;3;256;263;61;0,00937;61;428;24;Text generated.
(name|id|number|total|boundary)=\s*[^\r\n\x20\s\x20]{300};1;0;284;1;300;300;1;0,000275;89;945;10;Text generated.
(Queued up.*id:(.{24}));1;38;109;1;24;24;1;9,5E-05;53;315;12;Text generated.
.*[pP][aA][sS][sS][^\x20]{50};1;56;110;1;50;50;1;0,000105;17;78;7;Text generated.
.*[uU][sS][eE][rR][^\x20]{50};1;56;111;1;50;50;2;0,000109;17;78;6;Text generated.
.*[xX][tT][nN][dD][^\x20]{50};1;56;111;1;50;50;2;0,000109;17;78;5;Text generated.
.*\x20.{33}.*\x20.*.{0}.*\x20;1;0;121;1;33;33;33;0,002212;10;25;8;Text generated.
.*A.*(JSNRCHG|JSNRHM|TOM).*([^K-U]QUM|IKSSUPRM)F[^DE][^A-D]{7,128}D.*;1;31;165;1;128;128;1;0,000132;92;771;19;Text generated.
.*FOLD [^\x0A]{256};1;0;115;1;256;256;1;0,000109;21;100;17;Text generated.
.*w3who.dll\x3F[^\r\n]{51};1;0;111;1;51;51;1;9,9E-05;45;232;8;Text generated.
.{11}\x20\x20\x20\x20.{4}\x20\x20\x20\x20.{0,251}\%x %x;1;0;142;3;251;266;21;0,002257;573;4728;6;Text generated.
.{15}\x20\x20\x20\x20.{4}\x20\x20\x20\x20.{0,251}%x %x;1;0;134;3;251;270;25;0,00257;573;4728;6;Text generated.
[13][a-km-zA-HJ-NP-Z1-9]{25,34};1;54;96;1;34;34;26;0,001376;4;10;9;Text generated.
[A-Z]+ [0-9A-Za-z/\s]{2,45} - [A-Z][a-z]+ 20[0-9]{2}.*;1;58;147;2;45;47;2;0,000139;26;99;7;Text generated.
[a-z_][a-z0-9_]{2,30}$;1;64;104;1;30;30;30;0,001749;2;4;6;Text generated.
[idm]_\w{32};1;70;114;1;32;32;2;0,000159;4;13;6;Text generated.
\$31\$(\d\d?)\$(.{43});1;51;105;1;43;43;1;9,7E-05;36;167;29;Text generated.
\/id\/(\S{40});1;45;101;1;40;40;1;9,7E-05;8;29;7;Text generated.
\d\d\.[^\s\n\r]{40};1;44;115;1;40;40;2;0,000141;6;19;5;Text generated.
\sAPPEND\s[^\n]{256};1;0;165;1;256;256;1;0,000157;16;65;4;Text generated.
